"id","docid","title","pubdate","type","author","majlang","collection_id","url"
389,"uc2.ark:/13960/t0rr1rz7m","Men and manners in Britain;","1834-01-01","Book","Thorburn, Grant","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0rr1rz7m"
390,"loc.ark:/13960/t40s0hg9n","My college days,","1880-01-01","Book","Tomes, Robert","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t40s0hg9n"
391,"loc.ark:/13960/t89g65d7q","The British isles,","1909-01-01","Book","Tomlinson, Everett T.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t89g65d7q"
392,"loc.ark:/13960/t2z32n954","Shaking hands with England,","1919-01-01","Book","Towne, Charles Hanson","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2z32n954"
393,"loc.ark:/13960/t2v41k275","Ghosts I have seen and other psychic experiences,","1919-01-01","Book","Tweedale, Violet","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2v41k275"
394,"yale.39002013174702","Notes of a ramble through France, Italy, Switzerland, Germany, Holland, and Belgium;","1836-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=yale.39002013174702"
395,"mdp.39015030730660","The living age ...",NULL,"Serial","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=mdp.39015030730660"
396,"uiuo.ark:/13960/t00z7fm4g","The Chap-book :",NULL,"Serial","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t00z7fm4g"
397,"uc2.ark:/13960/t0sq8wh72","Letters from Thomas Percy, D.D. :","1830-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0sq8wh72"
398,"uc2.ark:/13960/t11n88b2q","The manuscripts of His Grace the Duke of Portland, preserved at Welbeck abbey ...","1891-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t11n88b2q"
399,"uc2.ark:/13960/t52f7mc66","Heads and tales, or, Anecdotes and stories of quadrupeds and other beasts chiefly connected with incidents in the histories of more or less distinguished men /","1870-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t52f7mc66"
400,"uc2.ark:/13960/t5fb50f49","Carrie F. Butler Thwing;","1899-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5fb50f49"
401,"loc.ark:/13960/t5j972777","Gleanings from the popular authors, grave and gay.","1886-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5j972777"
402,"loc.ark:/13960/t70v9b62j","Old sights with new eyes /","1854-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t70v9b62j"
403,"uc2.ark:/13960/t8rb6xx2s","The library of choice literature :","1882-01-01","Book","Anonymous","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8rb6xx2s"
404,"loc.ark:/13960/t4mk7599f","Around the world :","1876-01-01","Book","Vanderslice, John","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t4mk7599f"
405,"yale.39002001723692","Leaves from the journal of our life in the Highlands, from 1848 to 1861 :","1868-01-01","Book","Queen Victoria","eng",2,"http://babel.hathitrust.org/cgi/pt?id=yale.39002001723692"
406,"loc.ark:/13960/t3fx7vr2s","From an island outpost","1914-01-01","Book","Waller, Mary E.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3fx7vr2s"
