id,text,lat,lon,sector,method
1558,Advocates' Library,55.94885,-3.191642,Old Town,exact
1565,King's Hill,55.8597891,-3.2656503,Pentlands,nearest(0.013457)
1567,Roslin Castle,55.851836,-3.160334,Liberton/Gilmerton,nearest(0.037310)
1576,Wallace's Cave,55.8546891,-3.1540858,Liberton/Gilmerton,nearest(0.034986)
1577,Bilston,55.8700782,-3.1823023,Pentlands,nearest(0.021735)
1578,Blackford Hill,55.923034,-3.19453,South Central,exact
1586,Guard Room,55.952601,-3.173452,Canongate,exact
1587,Hawthornden Castle,55.8610314,-3.1419795,Liberton/Gilmerton,nearest(0.029146)
1593,Bruntsfield House,55.936555,-3.199349,South Central,exact
1596,Sunnyside,55.9608,-3.1702,Leith,exact
1599,University of Edinburgh,55.942677,-3.188891,South Central,exact
1608,High Riggs,55.945334,-3.202102,Old Town,nearest(0.001786)
1610,Ponton Street,55.9437,-3.2059,South West,nearest(0.000815)
1611,Candlemaker Row,55.946951,-3.192865,Old Town,exact
1615,Leith Walk,55.9705,-3.1719,Leith,exact
1618,Ramsay House,55.956542,-3.239913,Inverleith,exact
1619,Cramond,55.9705707,-3.3065489,Almond,exact
1624,Calton,55.9561687,-3.1744939,Leith,nearest(0.001588)
1626,Writers' Court,55.949939,-3.190555,Old Town,exact
1627,Blackford,55.9258059,-3.1900889,South Central,exact
1628,North Loch,55.950135,-3.200252,New Town,exact
1630,Braid Hills,55.9135184,-3.2013963,South Central,exact
1631,Gibb's Close,55.950561,-3.183239,Old Town,exact
1632,Waterloo Place,55.9536,-3.1854,New Town,nearest(0.000434)
1635,Brown's Close,55.9523,-3.1769,Canongate,exact
1636,London Street,55.959,-3.1924,New Town,exact
1639,Paul's Work,55.952685,-3.185354,New Town,exact
1641,Corstorphine Hill,55.9534686,-3.2733947,Western Edinburgh,exact
1645,Hunter's Bog,55.9478369,-3.1654679,Craigentinny/Duddingston,exact
1659,Beechwood House,55.943947,-3.264409,Western Edinburgh,exact
1661,Lothian Road,55.9475,-3.2061,New Town,nearest(0.001742)
1662,Randolph Crescent,55.951934,-3.211707,New Town,nearest(0.000209)
1663,Ramsay House,55.976952,-3.192122,Forth,exact
1666,Bruntsfield,55.9366176,-3.2073772,South Central,exact
1667,Barnton,55.9588104,-3.2992912,Western Edinburgh,exact
1671,Gorgie,55.93574,-3.2414663,South West,exact
1673,Queensferry Street,55.9514,-3.211,New Town,nearest(0.000551)
1674,Hanover Street,55.9535,-3.1973,New Town,exact
1675,Cumberland Street,55.9586,-3.2,New Town,exact
1678,Colinton,55.908095,-3.253874,Pentlands,exact
1680,Duddingston,55.9440662,-3.1371653,Craigentinny/Duddingston,exact
1685,Habbie's Howe,55.842957,-3.300606,Pentlands,nearest(0.015619)
1706,Bedford Street,55.9584,-3.2143,Inverleith,exact
1710,Cafe Royal,55.95385,-3.190459,New Town,exact
1724,Union Canal,55.9651,-3.642215,Outer Scotland,outside
1749,Whitekirk,56.016525,-2.631951,Outer Scotland,outside
1752,Linlithgow,55.975533,-3.603987,Outer Scotland,outside
1861,Linlithgow Palace,55.97801,-3.60143,Outer Scotland,outside
1871,Balm Well,55.9028966,-3.1642422,Liberton/Gilmerton,exact
1878,Dunglass,55.938675,-2.376166,Outer Scotland,outside
1879,Haddington,55.947523,-2.786161,Outer Scotland,outside
1902,St Giles,55.9493396,-3.1905294,Old Town,exact
1941,Glenesk,55.85802,-3.077091,Liberton/Gilmerton,nearest(0.044164)
1960,Gosford,55.998517,-2.885,Portobello/Craigmillar,nearest(0.194749)
1963,Auldhame,56.05391,-2.640719,Outer Scotland,outside
1977,Innerwick,55.952674,-2.440967,Outer Scotland,outside
2007,Morrison's Haven,55.952803,-3.004676,Portobello/Craigmillar,nearest(0.068909)
2008,Newbattle Abbey,55.880379,-3.070581,Liberton/Gilmerton,nearest(0.028307)
